City Name,Province,sum
Badin,Sindh,765811.4353
Central Karachi,Sindh,0
Dadu,Sindh,259129.8471
East Karachi,Sindh,0
Ghotki,Sindh,170162.1725
Hyderabad,Sindh,6127.956863
Jacobabad,Sindh,365804.0706
Jamshoro,Sindh,157906.102
Kashmore,Sindh,358077.9451
Khairpur,Sindh,66263.95294
Larkana,Sindh,92197.39216
Matiari,Sindh,54765.90588
Mirpur Khas,Sindh,168100.8118
Naushahro Feroze,Sindh,60812.19216
Sanghar,Sindh,444731.7765
Shikarpur,Sindh,130968.7412
South Karachi,Sindh,1215.682353
Sujawal,Sindh,1491470.812
Sukkur,Sindh,201806.302
Tando Allahyar,Sindh,27799.46275
Tando Muhammad Khan,Sindh,55104.39216
Tharparkar,Sindh,314469.3333
Thatta,Sindh,546705.0745
West Karachi,Sindh,6
Umerkot,Sindh,100457.4157
Qambar Shahdadkot,Sindh,628439.2157
Malir,Sindh,11512.05098
Attock,Punjab,142867.2588
Bahawalnagar,Punjab,31284.9098
Bahawalpur,Punjab,43021.92157
Bhakkar,Punjab,155168.1725
Chakwal,Punjab,24624.17255
Chiniot,Punjab,147405.3098
Dera Ghazi Khan,Punjab,422675.9608
Faisalabad,Punjab,33076.08235
Gujranwala,Punjab,149983.8549
Gujrat,Punjab,94976.58431
Hafizabad,Punjab,96143.04706
Jhang,Punjab,537967.1725
Jhelum,Punjab,196978.4667
Kasur,Punjab,23617.04706
Khanewal,Punjab,51133.72549
Khushab,Punjab,152956.1412
Lahore,Punjab,18000.70588
Lodhran,Punjab,47
Mandi Bahauddin,Punjab,99990.50588
Mianwali,Punjab,942480.2078
Multan,Punjab,215613.2902
Muzaffargarh,Punjab,680608.8549
Nankana Sahib,Punjab,71027.60392
Narowal,Punjab,72918.89412
Okara,Punjab,18433.38431
Pakpattan,Punjab,11520.49412
Rajanpur,Punjab,559722.749
Rawalpindi,Punjab,43204.02353
Sahiwal,Punjab,6373.376471
Sargodha,Punjab,114206.5804
Sheikhupura,Punjab,161570.3843
Sialkot,Punjab,180670.8392
Toba Tek Singh,Punjab,14586.30588
Vehari,Punjab,13994.27451
Talagang,Punjab,51725.16863
Layyah,Punjab,618561.9216
Taunsa,Punjab,234454.0588
Kot Addu,Punjab,193882.9608
Dera Ismail Khan,Punjab,563551.5922
Rahim Yar Khan,Punjab,352976.4431
Nawabshah,Punjab,88274.70588
Wazirabad,Punjab,132673.6392
Islamabad,Islamabad,12104.50196
Awaran,Balochistan,16.95294118
Barkhan,Balochistan,852
Chagai,Balochistan,26989.3451
Gwadar,Balochistan,47617.14118
Kech,Balochistan,5690
Khuzdar,Balochistan,342
Lasbela,Balochistan,86304.7451
Musakhel,Balochistan,995.027451
Panjgur,Balochistan,208
Chaman,Balochistan,2.17E+07
Bagh,Azad Kashmir,156.054902
Bhimber,Azad Kashmir,50.38431373
Jhelum Valley,Azad Kashmir,786.4156863
Haveli,Azad Kashmir,216
Kotli,Azad Kashmir,227.5686275
Mirpur,Azad Kashmir,472136.5843
Muzaffarabad,Azad Kashmir,793.7254902
Poonch,Azad Kashmir,1083.270588
Astore,Gilgit Baltistan,6491.447059
Ghanche,Gilgit Baltistan,5310.560784
Gilgit,Gilgit Baltistan,4835.023529
Hunza,Gilgit Baltistan,95631.4
Skardu,Gilgit Baltistan,34443.03137
Nagar,Gilgit Baltistan,35415.64706
Kharmang,Gilgit Baltistan,856.8627451
Shigar,Gilgit Baltistan,108070.6941
Abbottabad,Khyber Pakhtunkhwa,757.7764706
Bajaur,Khyber Pakhtunkhwa,120.4
Bannu,Khyber Pakhtunkhwa,9744.403922
Buner,Khyber Pakhtunkhwa,137.9215686
Charsadda,Khyber Pakhtunkhwa,11488.78431
Chitral Lower,Khyber Pakhtunkhwa,11028.42745
Hangu,Khyber Pakhtunkhwa,2410.423529
Haripur,Khyber Pakhtunkhwa,267521.6784
Karak,Khyber Pakhtunkhwa,30288.96471
Khyber,Khyber Pakhtunkhwa,7090.541176
Kohat,Khyber Pakhtunkhwa,31783.21961
Kurram,Khyber Pakhtunkhwa,5770.494118
Lakki Marwat,Khyber Pakhtunkhwa,18732.05098
Lower Dir,Khyber Pakhtunkhwa,501.7490196
Malakand,Khyber Pakhtunkhwa,1230.466667
Mansehra,Khyber Pakhtunkhwa,12446.38039
Mardan,Khyber Pakhtunkhwa,35.01568627
Mohmand,Khyber Pakhtunkhwa,1136.584314
North Waziristan,Khyber Pakhtunkhwa,33537.41176
Nowshera,Khyber Pakhtunkhwa,52725.03922
Orakzai,Khyber Pakhtunkhwa,435.454902
Peshawar,Khyber Pakhtunkhwa,8552.631373
Shangla,Khyber Pakhtunkhwa,1521.835294
Swabi,Khyber Pakhtunkhwa,47746.23137
Swat,Khyber Pakhtunkhwa,8163.231373
Tank,Khyber Pakhtunkhwa,13664.38824
Upper Dir,Khyber Pakhtunkhwa,2784.505882
Upper Kohistan,Khyber Pakhtunkhwa,5255.047059
Kolai-Palas,Khyber Pakhtunkhwa,836.9764706
